,电影名称,年份,国家,标签,评分
0,肖申克的救赎,1994 , 美国 , 犯罪 剧情,9.7
1,霸王别姬,1993 , 中国大陆 中国香港 , 剧情 爱情 同性,9.6
2,阿甘正传,1994 , 美国 , 剧情 爱情,9.5
3,这个杀手不太冷,1994 , 法国 美国 , 剧情 动作 犯罪,9.4
4,泰坦尼克号,1997 , 美国 墨西哥 澳大利亚 加拿大 , 剧情 爱情 灾难,9.4
5,美丽人生,1997 , 意大利 , 剧情 喜剧 爱情 战争,9.6
6,千与千寻,2001 , 日本 , 剧情 动画 奇幻,9.4
7,辛德勒的名单,1993 , 美国 , 剧情 历史 战争,9.5
8,盗梦空间,2010 , 美国 英国 , 剧情 科幻 悬疑 冒险,9.3
9,忠犬八公的故事,2009 , 美国 英国 , 剧情,9.4
10,星际穿越,2014 , 美国 英国 加拿大 , 剧情 科幻 冒险,9.3
11,楚门的世界,1998 , 美国 , 剧情 科幻,9.3
12,海上钢琴师,1998 , 意大利 , 剧情 音乐,9.3
13,三傻大闹宝莱坞,2009 , 印度 , 剧情 喜剧 爱情 歌舞,9.2
14,机器人总动员,2008 , 美国 , 科幻 动画 冒险,9.3
15,放牛班的春天,2004 , 法国 瑞士 德国 , 剧情 喜剧 音乐,9.3
16,无间道,2002 , 中国香港 , 剧情 犯罪 惊悚,9.3
17,疯狂动物城,2016 , 美国 , 喜剧 动画 冒险,9.2
18,大话西游之大圣娶亲,1995 , 中国香港 中国大陆 , 喜剧 爱情 奇幻 古装,9.2
19,熔炉,2011 , 韩国 , 剧情,9.3
20,教父,1972 , 美国 , 剧情 犯罪,9.3
21,当幸福来敲门,2006 , 美国 , 剧情 传记 家庭,9.1
22,龙猫,1988 , 日本 , 动画 奇幻 冒险,9.2
23,怦然心动,2010 , 美国 , 剧情 喜剧 爱情,9.1
24,控方证人,1957 , 美国 , 剧情 犯罪 悬疑,9.6
25,触不可及,2011 , 法国 , 剧情 喜剧,9.3
26,末代皇帝,1987 , 英国 意大利 中国大陆 法国 , 剧情 传记 历史,9.3
27,蝙蝠侠：黑暗骑士,2008 , 美国 英国 , 剧情 动作 科幻 犯罪 惊悚,9.2
28,寻梦环游记,2017 , 美国 , 喜剧 动画 奇幻 音乐,9.1
